Номер чека|Товар
578432|Новопассит
578432|Арбидол
578432|Новопассит
578438|Спазмалгон
578438|Новопассит
578444|Арбидол
578444|Новокаин
578444|Новопассит
578444|Пенталгин
578444|Пенталгин
578449|Арбидол
578449|Гематоген
578449|Пенталгин
578449|Спазмалгон
578449|Ношпа
578454|Ношпа
578459|Гематоген
578459|Гематоген
578459|Новопассит
578459|Ледокаин
578459|Пенталгин
578465|Арбидол
578465|Арбидол
578465|Арбидол
578474|Ношпа
578474|Ледокаин
578474|Гематоген
578484|Арбидол
578484|Спазмалгон
578489|Арбидол
578489|Ледокаин
578489|Спазмалгон
578489|Спазмалгон
578489|Ношпа
578493|Ношпа
578493|Пенталгин
578497|Ношпа
578497|Ношпа
578497|Ледокаин
578507|Спазмалгон
578507|Спазмалгон
578507|Арбидол
578507|Ледокаин
578513|Ледокаин
578513|Арбидол
578513|Спазмалгон
578513|Спазмалгон
578513|Пенталгин
578521|Ношпа
578521|Гематоген
578521|Спазмалгон
578528|Спазмалгон
578528|Гематоген
578528|Пенталгин
578536|Спазмалгон
578536|Новокаин
578536|Новокаин
578536|Пенталгин
578543|Новокаин
578543|Гематоген
578543|Гематоген
578543|Арбидол
578543|Арбидол
578552|Ношпа
578555|Пенталгин
578555|Ношпа
578555|Спазмалгон
578555|Спазмалгон
578555|Новопассит
578558|Новокаин
578558|Новопассит
578558|Ношпа
578558|Арбидол
578558|Спазмалгон
578567|Ношпа
578567|Гематоген
578574|Новокаин
578574|Арбидол
578574|Новокаин
578574|Пенталгин
578582|Ношпа
578590|Арбидол
578590|Новопассит
578590|Ледокаин
578590|Новокаин
578597|Новопассит
578597|Новопассит
578597|Спазмалгон
578597|Пенталгин
578597|Спазмалгон
578602|Пенталгин
578602|Пенталгин
578602|Ношпа
578602|Гематоген
578610|Ношпа
578610|Новопассит
578610|Гематоген
578617|Новокаин
578617|Новокаин
578617|Ношпа
578617|Спазмалгон
578617|Ношпа
578626|Новокаин
578626|Арбидол
578631|Арбидол
578631|Арбидол
578631|Арбидол
578634|Новопассит
578634|Ледокаин
578642|Пенталгин
578642|Ношпа
578642|Спазмалгон
578645|Арбидол
578649|Гематоген
578649|Арбидол
578649|Пенталгин
578649|Ношпа
578658|Спазмалгон
578658|Пенталгин
578663|Спазмалгон
578663|Спазмалгон
578666|Ношпа
578673|Новокаин
578673|Спазмалгон
578673|Новопассит
578677|Гематоген
578677|Ледокаин
578677|Пенталгин
578685|Ношпа
578685|Ношпа
578685|Новокаин
578685|Ношпа
578695|Ношпа
578695|Спазмалгон
578695|Новокаин
578701|Ношпа
578701|Пенталгин
578701|Арбидол
578701|Ледокаин
578701|Новопассит
578704|Арбидол
578704|Новопассит
578704|Спазмалгон
578704|Гематоген
578704|Ледокаин
578707|Новокаин
578707|Ношпа
578707|Новокаин
578707|Гематоген
578707|Новокаин
578715|Арбидол
578715|Новокаин
578715|Новокаин
578722|Арбидол
578722|Пенталгин
578722|Пенталгин
578727|Ледокаин
578727|Новопассит
578727|Новокаин
578733|Ледокаин
578733|Новопассит
578733|Гематоген
578738|Ледокаин
578738|Ношпа
578738|Ношпа
578738|Спазмалгон
578738|Арбидол
